key,src,line,hook,daddr,dport,payload_len,awaits_reply,label,labeller,rule,notes
readonly.jsonl:1,readonly.jsonl,1,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
readonly.jsonl:2,readonly.jsonl,2,socket_sendmsg,160.79.104.10,443,1504,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:3,readonly.jsonl,3,socket_sendmsg,160.79.104.10,443,241,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:4,readonly.jsonl,4,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
readonly.jsonl:5,readonly.jsonl,5,socket_sendmsg,160.79.104.10,443,1504,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:6,readonly.jsonl,6,socket_sendmsg,160.79.104.10,443,1108,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:7,readonly.jsonl,7,socket_sendmsg,160.79.104.10,443,1478,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:8,readonly.jsonl,8,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:9,readonly.jsonl,9,socket_sendmsg,160.79.104.10,443,599,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:10,readonly.jsonl,10,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
readonly.jsonl:11,readonly.jsonl,11,socket_sendmsg,160.79.104.10,443,1504,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:12,readonly.jsonl,12,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
readonly.jsonl:13,readonly.jsonl,13,socket_sendmsg,160.79.104.10,443,3315,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:14,readonly.jsonl,14,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:15,readonly.jsonl,15,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:16,readonly.jsonl,16,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:17,readonly.jsonl,17,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:18,readonly.jsonl,18,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
readonly.jsonl:19,readonly.jsonl,19,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
readonly.jsonl:20,readonly.jsonl,20,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:21,readonly.jsonl,21,socket_sendmsg,160.79.104.10,443,472,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:22,readonly.jsonl,22,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:23,readonly.jsonl,23,socket_sendmsg,160.79.104.10,443,398,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:24,readonly.jsonl,24,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:25,readonly.jsonl,25,socket_sendmsg,160.79.104.10,443,331,False,irrevocable,rules,Q5 (no declared compensation),
